"title";"content";"date";"variant";"verified";"images";"author";"rating";"product";"url"
"waste.  Had to chase them down through Amazon for a refund for defective phone";"Volume speaker earpiece nothing worked now I’m having to secondary request for a refund through Amazon";"26 Apr 2021";"Color: Matte Black";"Yes";"";"Joe";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Not unlocked";"Not unlocked for tmobile, seller will not answer me will be returning product.";"26 Apr 2021";"Color: Matte Black";"Yes";"";"TTt";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Grandioso";"El teléfono está en excelente estado tengo un tiempo usando y sigue como lo compre y sigue funcionado bien =)";"26 Apr 2021";"Color: Matte Black";"Yes";"";"Walter";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"My phone experience.";"Has a lot of glitches..";"25 Apr 2021";"Color: Matte Black";"Yes";"";"Attiyah Collins";"3.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Bad bad";"Very bad, I was expecting more from this salesman and his product $200 thrown into trash in 3 months";"25 Apr 2021";"Color: Matte Black";"Yes";"";"Ronald Moncada";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"The product did not work";"After receiving the phone, I tried everything and it did not work.";"25 Apr 2021";"Color: Matte Black";"Yes";"";"Patricia Temple";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"It's awesome";"Good quality works great love it thanks";"24 Apr 2021";"Color: Matte Black";"Yes";"";"Christopher Durbin";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"It’s a bit smaller than the picture";"I love this in fact I’m on it right now! Amazing delivery time and amazing careful packaging!! 10/10 would recommend!! 😇😇😇";"23 Apr 2021";"Color: Rose Gold";"Yes";"";"Madison wheeler";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Would buy again";"This was a good purchase. Phone works like new";"22 Apr 2021";"Color: Matte Black";"Yes";"";"Shazie";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"The kid loves her phone. She wanted the 11 but loves the 7.";"This is what my grand daughter wanted for her birthday. Grandma made it happen. She wanted an Iphone, so she could FaceTime me, and to keep up with the latest games and things like her cousins. She’s a happy kid right now. Of rage loves the touch screen, and her battery doesn’t run down fast.";"21 Apr 2021";"Color: Matte Black";"Yes";"";"Andrettia Thompson";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Shaky start- good ending✅";"Outer box came opened- product was inside and untouched but still box came opened .";"20 Apr 2021";"Color: Matte Black";"Yes";"";"Daniel Dunn";"4.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Quality Phone, Worked out of the box perfectly, Arrived ahead of schedule";"The phone was exactly ad advertised. No battery, screen, or body conditions issues. Slide the SIM in and worked right away. Absolutely best iPhone purchase i've made thus far. Very happy with my refurb. The only qualm is that it cam with an off brand changer that doesnt seem to charge as quickly. That is not a problem as I have my own cables and bricks. 100% will buy again in the future when I need another new iPhone. Thank you!";"19 Apr 2021";"Color: Matte Black";"Yes";"";"Cindy S Hartman";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Iphone 7 unlocked";"It arrived on time and working perfectly with long life battery, thanks  !";"19 Apr 2021";"Color: Matte Black";"Yes";"";"Cypien K.";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Great  product";"Bought it for my daughter.";"17 Apr 2021";"Color: Rose Gold";"Yes";"";"Riffrockerdon";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"Phone would only work with T-mobile when it had been advertised as fully unlocked";"This phone would only work with a t-mobile sim card.";"17 Apr 2021";"Color: Matte Black";"Yes";"";"Jim Ryan";"1.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
"🤙";"👍";"16 Apr 2021";"Color: Matte Black";"Yes";"";"FAMILY ACCOUNT";"5.0";"Apple iPhone 7, GSM Unlocked, 32GB - Rose Gold (Renewed)";"https://www.amazon.com/Apple-iPhone-32GB-Rose-Renewed/product-reviews/B0731HBTZ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews"
